# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid: 1.7792 1.77773 4.61423e+09 4.61423e+09 0 4.61423e+09 4.61423e+09
main: 374.718 5328.38 9.71803e+11 9.71803e+11 0 9.71803e+11 9.71803e+11
meta mode: 374.718 5328.38 9.71803e+11 9.71803e+11 0 9.71803e+11 9.71803e+11
main/CarpetStartup/CheckRegions: 4e-06 0 5234 5234 0 5234 5234
main/CarpetStartup: 0.474181 4.6053 1.22975e+09 1.22975e+09 0 1.22975e+09 1.22975e+09
main/CarpetStartup/AllocateGridHierarchy: 1.3e-05 0 32185 32185 0 32185 32185
main/CarpetStartup/CarpetLib::dh::regrid: 0.000212 0.002 469964 4699.64 49499.5 3946 3952
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 7.5e-05 0.001 185883 1858.83 1931.99 1676 1793
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.084598 0.712893 2.19601e+08 2.19601e+06 4.72064e+06 2.13193e+06 2.14709e+06
main/CarpetStartup/CarpetLib::dh::recompose: 6.7e-05 0 191012 1910.12 7988.39 1646 1750
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.003808 0.028994 9.84978e+06 98497.8 196224 94658 96123
main/CarpetStartup/CarpetLib::gh::regrid: 0.46959 4.55431 1.21779e+09 1.21779e+07 2.25977e+08 9.62405e+06 1.00465e+07
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 6.9e-05 0 186093 1860.93 2772.01 1634 1710
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/buffers: 0.121653 1.00085 3.15761e+08 3.15761e+06 856190 3.08513e+06 3.0971e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.141976 1.18981 3.68461e+08 3.68461e+06 3.76211e+06 3.55237e+06 3.55494e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 7e-05 0.001 175690 1756.9 1440.75 1502 1643
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose: 0.018885 0.002 4.89772e+07 4.89772e+06 4.61643e+06 715238 5.74709e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.008243 0.064988 2.13712e+07 213712 1.40947e+06 193201 194009
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007024 0.05599 1.83186e+07 183186 1.3057e+06 165812 166638
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 7.2e-05 0 188846 1888.46 5188.58 1697 1765
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.029917 0.028995 7.76105e+07 7.76105e+06 725585 7.0872e+06 7.80969e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 7.8e-05 0.001 182283 1822.83 1339.07 1612 1732
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/mask: 0.000367 0.002999 996940 9969.4 15174.1 7148 9733
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.001037 0.008 2.77552e+06 27755.2 541019 13689 89312
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs3: 7.5e-05 0 176306 1763.06 2763.27 1587 1621
main/Initialise/CallInitial/Poison: 5.31922 0.965854 1.3795e+10 1.3795e+09 1.16363e+09 7.71582e+08 1.35748e+09
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid: 0.468933 4.55031 1.21615e+09 1.21615e+07 2.25942e+08 9.60815e+06 1.00307e+07
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs2: 0.001191 0.008998 3.1886e+06 31886 312277 18864 32631
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_boxes: 0.089483 1.41079 2.32155e+08 2.32155e+06 2.14673e+08 55548 330200
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm: 0.013914 0.103991 3.60515e+07 360515 1.81085e+06 298045 485928
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/unusedpoints_mask: 7.1e-05 0 187356 1873.56 3913.15 1603 1756
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/reflux: 7.4e-05 0.000999 187243 1872.43 3826.1 1630 1685
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync: 0.001525 0.011 3.94851e+06 39485.1 570082 25196 99968
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs3: 7.7e-05 0.002 185751 1857.51 1646.51 1664 1744
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs1: 9.9e-05 0 261339 2613.39 2212.49 2230 2600
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol: 0.001736 0.016998 4.50248e+06 45024.8 357554 30888 44643
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs1: 8.2e-05 0.001 207564 2075.64 2669.05 1829 2034
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol: 0.001155 0.008999 2.9965e+06 29965 144237 24287 39299
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs1: 7.7e-05 0 205005 2050.05 2324.51 1789 1881
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs2: 0.000669 0.004 1.81087e+06 18108.7 135537 12975 21240
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol: 0.006551 0.044996 1.69873e+07 169873 951900 144437 236560
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs2: 0.004152 0.031998 1.11748e+07 18624.7 525173 11568 16343
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs3: 7.1e-05 0 172355 1723.55 1292.64 1569 1603
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs3: 0.000393 0.002999 1.03988e+06 1733.14 14220.1 1554 1627
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync: 0.001166 0.009 3.01661e+06 30166.1 133763 24547 26887
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs1: 0.000484 0.002 1.19425e+06 1990.41 5077.61 1744 1924
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs1: 6.4e-05 0.001 198471 1984.71 1502.33 1783 1851
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs2: 0.00069 0.005 1.85208e+06 18520.8 126453 13440 16285
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs3: 6.5e-05 0 170315 1703.15 907.657 1560 1637
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol: 0.001187 0.005998 3.07073e+06 30707.3 238275 23669 24630
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs2: 0.0007 0.004999 1.90749e+06 19074.9 232528 11789 14053
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs3: 6.4e-05 0 170956 1709.56 1138.99 1548 1639
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs1: 7e-05 0 200059 2000.59 1541.49 1798 1885
meta mode/meta mode/global mode/level(0)/leave_local_mode: 0.002249 0.027995 5.4269e+06 20099.6 391868 1480 15719
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose: 0.016368 0.002 4.24459e+07 4.71621e+06 1.37575e+06 4.10419e+06 5.10295e+06
meta mode/meta mode/global mode/level(0)/leave_singlemap_mode: 0.000717 0.002999 1.84914e+06 6748.69 101866 1505 6384
meta mode/meta mode: 374.242 5323.75 9.70569e+11 9.70569e+11 0 9.70569e+11 9.70569e+11
meta mode/meta mode/global mode/leave_level_mode: 0.000779 0.011998 2.05869e+06 6453.58 75025 4334 4751
meta mode/meta mode/leave_global_mode: 0.003507 0.032997 9.13502e+06 92272.9 565982 30041 151641
meta mode/meta mode/global mode/level(0): 182.642 2453.25 4.73668e+11 5.57257e+09 4.39104e+11 23846 932491
meta mode/meta mode/global mode: 373.978 5323.27 9.69885e+11 9.79682e+09 4.76285e+11 20329 1.15419e+10
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose/CarpetLib::ggf::recompose_crop: 0.00067 0 1.7446e+06 1746.35 7736.63 1557 1643
main/Initialise/CallSetup: 0.038527 0.013998 9.99166e+07 9.99166e+07 0 9.99166e+07 9.99166e+07
meta mode/meta mode/global mode/level(0)/enter_local_mode: 0.005681 0.059995 1.49027e+07 55400.5 998650 1532 152167
main/Initialise/CarpetLib::ggf::recompose_crop: 0.000919 0.001 2.13145e+06 2168.31 25385.7 1838 2126
main/Initialise/CarpetLib::ggf::recompose_allocate: 0.001045 0 2.71139e+06 2758.28 24020.5 2392 2781
main/Initialise/CallInitial/CCTK_POSTINITIAL/CallFunction/thorns/ML_BSSN_SelectBoundConds: 0.000603 0.003999 1.57156e+06 157156 363401 110886 118043
